GpsCycle,GpsWeek,GpsToW[s],TimeStartup[ns],UnCompAccX[m/s^2],UnCompAccY[m/s^2],UnCompAccZ[m/s^2],UnCompGyroX[rad/s],UnCompGyroY[rad/s],UnCompGyroZ[rad/s]
1,18,519422.4,1009400000000,5.95770276e-08,-0.0200000141,0.033773941,1.67922947e-05,7.08047321e-05,-0.02
1,18,519422.5,1009500000000,5.91011927e-08,-0.0200000139,0.0337738742,1.66503306e-05,7.08381737e-05,-0.02
1,18,519422.6,1009600000000,5.86244122e-08,-0.0200000136,0.0337738078,1.65082998e-05,7.08713316e-05,-0.02
1,18,519422.7,1009700000000,5.81466937e-08,-0.0200000134,0.0337737421,1.63662029e-05,7.09042051e-05,-0.02
1,18,519422.8,1009800000000,5.76680449e-08,-0.0200000132,0.0337736769,1.62240406e-05,7.09367944e-05,-0.02
1,18,519422.9,1009900000000,5.71884733e-08,-0.0200000129,0.0337736123,1.60818134e-05,7.09690992e-05,-0.02
1,18,519423,1010000000000,5.67079868e-08,-0.0200000127,0.0337735483,1.59395218e-05,7.10011199e-05,-0.02
1,18,519423.1,1010100000000,5.62265929e-08,-0.0200000125,0.0337734848,1.57971664e-05,7.10328557e-05,-0.02
1,18,519423.2,1010200000000,5.57442994e-08,-0.0200000123,0.0337734219,1.56547479e-05,7.10643066e-05,-0.02
1,18,519423.3,1010300000000,5.5261114e-08,-0.020000012,0.0337733596,1.55122667e-05,7.10954728e-05,-0.02
1,18,519423.4,1010400000000,5.47770444e-08,-0.0200000118,0.0337732978,1.53697235e-05,7.11263539e-05,-0.02
1,18,519423.5,1010500000000,5.42920983e-08,-0.0200000116,0.0337732366,1.52271188e-05,7.11569498e-05,-0.02
1,18,519423.6,1010600000000,5.38062836e-08,-0.0200000114,0.033773176,1.50844532e-05,7.11872605e-05,-0.02
1,18,519423.7,1010700000000,5.33196081e-08,-0.0200000112,0.0337731159,1.49417272e-05,7.12172859e-05,-0.02
1,18,519423.8,1010800000000,5.28320794e-08,-0.0200000109,0.0337730565,1.47989414e-05,7.12470257e-05,-0.02
1,18,519423.9,1010900000000,5.23437053e-08,-0.0200000107,0.0337729976,1.46560965e-05,7.12764799e-05,-0.02
1,18,519424,1011000000000,5.18544938e-08,-0.0200000105,0.0337729392,1.45131929e-05,7.13056484e-05,-0.02
1,18,519424.1,1011100000000,5.13644526e-08,-0.0200000103,0.0337728815,1.43702312e-05,7.13345311e-05,-0.02
1,18,519424.2,1011200000000,5.08735896e-08,-0.0200000101,0.0337728243,1.4227212e-05,7.13631277e-05,-0.02
1,18,519424.3,1011300000000,5.03819126e-08,-0.0200000099,0.0337727676,1.4084136e-05,7.13914383e-05,-0.02
1,18,519424.4,1011400000000,4.98894295e-08,-0.0200000097,0.0337727116,1.39410036e-05,7.14194624e-05,-0.02
1,18,519424.5,1011500000000,4.93961482e-08,-0.0200000095,0.0337726561,1.37978154e-05,7.14472008e-05,-0.02
1,18,519424.6,1011600000000,4.89020765e-08,-0.0200000093,0.0337726012,1.3654572e-05,7.14746522e-05,-0.02
1,18,519424.7,1011700000000,4.84072224e-08,-0.0200000091,0.0337725469,1.3511274e-05,7.15018174e-05,-0.02
1,18,519424.8,1011800000000,4.79115938e-08,-0.0200000089,0.0337724931,1.33679219e-05,7.15286959e-05,-0.02
1,18,519424.9,1011900000000,4.74151986e-08,-0.0200000087,0.0337724399,1.32245163e-05,7.15552874e-05,-0.02
1,18,519425,1012000000000,4.69180447e-08,-0.0200000086,0.0337723873,1.30810579e-05,7.15815923e-05,-0.02
1,18,519425.1,1012100000000,4.64201402e-08,-0.0200000084,0.0337723353,1.29375471e-05,7.16076103e-05,-0.02
1,18,519425.2,1012200000000,4.5921493e-08,-0.0200000082,0.0337722838,1.27939845e-05,7.16333409e-05,-0.02
1,18,519425.3,1012300000000,4.5422111e-08,-0.020000008,0.033772233,1.26503708e-05,7.16587847e-05,-0.02
1,18,519425.4,1012400000000,4.49220022e-08,-0.0200000078,0.0337721826,1.25067064e-05,7.16839409e-05,-0.02
